name,same_team,same_league,gk_saves,games,minutes,goals,assists,cards_yellow,passes,assisted_shots,tackles,interceptions,clearances,fouls,fouled,team,crosses,shots,shots_on_target
Kyle Walker,True,False,0,27,0,0,0,3,1892,6,13,18,22,15,10,0,0,5,0
Bernardo Silva,True,False,0,34,0,4,5,5,1543,31,44,16,6,31,15,0,0,25,0
Erling Haaland,True,False,0,35,0,36,8,5,500,29,3,3,14,31,24,0,0,116,0
Ruben Dias,True,False,0,26,0,0,0,3,2080,3,21,18,56,19,7,0,0,10,0
Manuel Akanji,True,False,0,29,0,0,1,2,2056,7,36,16,33,24,12,0,0,15,0
Josko Gvardiol,False,False,0,30,0,1,0,2,2149,12,23,34,76,20,13,0,0,14,0
Nathan Ake,True,False,0,26,0,1,0,2,1813,9,26,20,48,12,14,0,0,9,0
Jeremy Doku,False,False,0,29,0,6,2,0,521,30,25,5,2,16,36,0,0,26,0
Mateo Kovacic,False,False,0,27,0,1,2,8,1319,23,36,19,16,18,12,0,0,23,0
Kevin De Bruyne,True,False,0,32,0,7,16,1,1626,96,28,9,10,20,29,0,0,65,0
John Stones,True,False,0,23,0,2,2,2,1563,8,23,9,40,10,8,0,0,11,0
Andre Onana,False,False,61,24,0,0,0,1,1030,3,0,0,5,0,3,0,0,0,0
Diogo Dalot,False,False,0,26,0,1,2,6,1441,29,54,37,55,21,3,0,0,22,0
Bruno Fernandes,False,False,0,37,0,8,8,6,2030,119,68,25,40,42,39,0,0,90,0
Alejandro Garnacho,False,False,0,19,569,3,2,3,187,3,5,5,3,8,8,0,0,24,0
Marcus Rashford,False,False,0,35,0,17,5,2,817,30,20,7,14,15,23,0,0,108,0
Rasmus Hojlund,False,False,0,32,0,9,2,1,435,24,4,1,5,21,32,0,0,54,0
Casemiro,False,False,0,28,0,4,3,7,1439,28,88,34,64,48,24,0,0,34,0
Kobbie Mainoo,False,False,0,1,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Aaron Wan Bissaka,False,False,0,19,0,0,0,2,840,15,40,22,41,11,2,0,0,10,0
Scott McTominay,False,False,0,24,0,1,0,8,432,8,32,14,45,28,16,0,0,13,0
Harry Maguire,False,False,0,16,767,0,0,4,577,1,8,13,41,8,4,0,0,3,0
Raphael Varane,False,False,0,24,0,0,0,1,1106,4,24,11,91,12,3,0,0,8,0
Jonny Evans,False,False,0,13,0,0,0,1,789,1,13,18,51,9,7,0,0,1,0
Antony,False,False,0,25,0,4,2,5,819,28,22,11,6,15,25,0,0,72,0
Victor Lindelof,False,False,0,20,0,0,0,1,930,3,22,21,63,10,4,0,0,3,0
