name,same_team,same_league,gk_saves,games,minutes,goals,assists,cards_yellow,passes,assisted_shots,tackles,interceptions,clearances,fouls,fouled,team,crosses,shots,shots_on_target
Sander Berge,False,False,37,0,6,5,4,54,1402,39,45,14,24,29,17,0,0,0,0
Dara OShea,False,False,37,0,2,1,7,25,2414,8,40,67,136,27,20,0,0,0,0
James Trafford,False,False,45,0,0,1,3,0,0,0,0,1,0,1,16,0,0,0,126
Zeki Amdouni,False,False,32,0,12,4,1,74,0,0,0,8,0,19,35,0,0,0,0
Vitinho,True,False,35,0,3,1,1,29,1011,19,52,16,35,22,26,0,0,0,0
Charlie Taylor,True,False,33,0,0,1,3,4,1462,8,30,31,66,7,18,0,0,0,0
Wilson Odobert,False,False,32,0,4,2,0,27,538,23,20,15,5,9,16,0,0,0,0
Josh Brownhill,True,False,41,0,7,8,9,57,2145,72,91,38,32,65,21,0,0,0,0
Josh Cullen,True,False,43,0,1,4,8,29,3109,38,63,55,44,44,61,0,0,0,0
Lyle Foster,True,False,11,365,1,0,0,10,104,5,10,0,2,8,4,0,0,0,0
Jacob Bruun Larsen,False,False,12,328,1,0,0,7,88,7,4,1,0,1,1,0,0,0,0
Maxime Esteve,False,False,23,0,0,0,3,6,748,1,24,34,90,18,7,0,0,0,0
Lorenz Assignon,False,False,12,261,0,1,3,3,155,1,6,2,9,4,4,0,0,0,0
Jordan Beyer,True,False,30,0,1,2,4,13,2269,8,63,37,66,15,24,0,0,0,0
Luca Koleosho,False,False,4,59,1,0,0,1,28,0,2,0,0,1,0,0,0,0,0
Conor Gallagher,True,False,0,35,0,3,1,11,871,21,46,23,18,35,35,0,0,28,0
Moises Caicedo,False,False,0,37,0,1,1,10,2251,43,100,56,31,65,54,0,0,28,0
Nicolas Jackson,False,False,0,26,0,12,4,6,325,21,14,2,4,32,26,0,0,41,0
Cole Palmer,False,False,0,14,370,0,1,1,193,5,5,1,2,1,6,0,0,11,0
Axel Disasi,False,False,0,38,0,3,3,3,1957,9,30,56,112,31,12,0,0,28,0
