game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report,games_szn,minutes_szn,gk_saves_szn,clearances_szn,tackles_szn,assisted_shots_szn,fouled_szn,shots_szn,crosses_szn,shots_on_target_szn,passes_szn,interceptions_szn,fouls_szn,goals_szn,assists_szn,cards_yellow_szn,game_count_szn,games_l5,minutes_l5,gk_saves_l5,clearances_l5,tackles_l5,assisted_shots_l5,fouled_l5,shots_l5,crosses_l5,shots_on_target_l5,passes_l5,interceptions_l5,fouls_l5,goals_l5,assists_l5,cards_yellow_l5,game_count_l5
Y,21,0,89,0,0,0,0,0,1,0,0,29,0,0,0,0,0,Sat,Premier League,Matchweek 27,Home,L 1-3,Everton,West Ham,FW,0.0,0.0,0.0,41.0,2.0,0.2,0.2,0.1,4.0,0.0,24.0,82.8,8.0,24.0,3.0,2.0,0.0,Match Report,0.0,84.44999999999999,0.0,0.0,1.45,0.0,0.0,1.65,0.0,0.8,27.95,0.65,0.0,0.3,0.0,0.2,10.5,0.0,76.8,0.0,0.0,1.0,0.0,0.0,1.6,0.0,0.4,20.0,1.0,0.0,0.2,0.0,0.0,18.0
Y,22,0,60,0,0,1,0,0,2,0,1,15,0,0,0,0,1,Sat,Premier League,Matchweek 28,Away,L 0-2,Everton,Manchester Utd,FW,0.0,0.0,0.0,26.0,0.0,0.2,0.2,0.0,1.0,0.0,10.0,66.7,1.0,17.0,2.0,3.0,0.0,Match Report,0.0,84.66666666666666,0.0,0.0,1.380952380952381,0.0,0.0,1.619047619047619,0.0,0.7619047619047619,28.0,0.6190476190476191,0.0,0.2857142857142857,0.0,0.19047619047619047,11.0,0.0,76.6,0.0,0.0,1.0,0.0,0.0,1.2,0.0,0.2,21.2,0.4,0.0,0.0,0.0,0.0,19.0
Y,23,0,71,0,0,2,0,0,0,0,0,26,1,0,0,0,0,Sat,Premier League,Matchweek 30,Away,L 1-2,Everton,Bournemouth,FW,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.2,3.0,0.0,19.0,73.1,3.0,13.0,2.0,2.0,0.0,Match Report,0.0,83.54545454545453,0.0,0.0,1.3636363636363635,0.0,0.0,1.6363636363636365,0.0,0.7727272727272727,27.40909090909091,0.5909090909090909,0.0,0.2727272727272727,0.0,0.22727272727272727,11.5,0.0,79.6,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.4,21.8,0.4,0.0,0.0,0.0,0.2,20.0
Y,24,0,60,0,0,0,0,0,2,0,1,16,0,0,0,0,0,Tue,Premier League,Matchweek 31,Away,D 1-1,Everton,Newcastle Utd,FW,0.0,0.0,0.0,20.0,1.0,0.2,0.2,0.0,0.0,0.0,13.0,81.3,4.0,14.0,1.0,0.0,0.0,Match Report,0.0,82.99999999999999,0.0,0.0,1.3913043478260867,0.0,0.0,1.565217391304348,0.0,0.7391304347826086,27.347826086956523,0.6086956521739131,0.0,0.2608695652173913,0.0,0.21739130434782608,12.0,0.0,75.8,0.0,0.0,0.8,0.0,0.0,1.4,0.0,0.4,22.8,0.4,0.0,0.0,0.0,0.2,21.0
Y,25,0,90,0,0,4,0,0,2,0,0,27,0,0,0,0,0,Sat,Premier League,Matchweek 32,Home,W 1-0,Everton,Burnley,FW,0.0,0.0,0.0,39.0,0.0,0.2,0.2,0.0,1.0,0.0,14.0,51.9,5.0,13.0,2.0,4.0,3.0,Match Report,0.0,82.04166666666666,0.0,0.0,1.333333333333333,0.0,0.0,1.5833333333333333,0.0,0.75,26.875,0.5833333333333334,0.0,0.25,0.0,0.20833333333333334,12.5,0.0,73.6,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.4,21.2,0.4,0.0,0.0,0.0,0.2,22.0
Y,26,0,90,0,0,4,0,0,0,0,0,41,0,0,0,0,0,Mon,Premier League,Matchweek 33,Away,L 0-6,Everton,Chelsea,FW,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,90.2,4.0,21.0,1.0,0.0,0.0,Match Report,0.0,82.36,0.0,0.0,1.4399999999999997,0.0,0.0,1.6,0.0,0.72,26.88,0.56,0.0,0.24,0.0,0.2,13.0,0.0,74.0,0.0,0.0,1.4,0.0,0.0,1.4,0.0,0.4,22.6,0.2,0.0,0.0,0.0,0.2,23.0
Y,27,0,90,0,0,2,0,0,0,0,0,38,1,0,0,1,1,Sun,Premier League,Matchweek 34,Home,W 2-0,Everton,Nott'ham Forest,CM,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,31.0,81.6,4.0,30.0,5.0,2.0,2.0,Match Report,0.0,82.65384615384616,0.0,0.0,1.538461538461538,0.0,0.0,1.5384615384615385,0.0,0.6923076923076923,27.423076923076923,0.5384615384615385,0.0,0.23076923076923078,0.0,0.19230769230769232,13.5,0.0,74.2,0.0,0.0,2.2,0.0,0.0,1.2,0.0,0.4,25.0,0.2,0.0,0.0,0.0,0.2,24.0
Y,28,0,90,0,0,0,0,0,1,0,0,23,0,0,0,0,0,Wed,Premier League,Matchweek 29,Home,W 2-0,Everton,Liverpool,FW,0.0,0.0,0.0,26.0,1.0,0.2,0.2,0.1,2.0,0.0,14.0,60.9,3.0,8.0,2.0,2.0,2.0,Match Report,0.0,82.92592592592592,0.0,0.0,1.5555555555555554,0.0,0.0,1.4814814814814814,0.0,0.6666666666666666,27.814814814814813,0.5555555555555556,0.0,0.2222222222222222,0.037037037037037035,0.2222222222222222,14.0,0.0,80.2,0.0,0.0,2.4,0.0,0.0,0.8,0.0,0.2,29.6,0.4,0.0,0.0,0.2,0.2,25.0
Y,29,0,90,0,0,0,0,0,1,0,0,39,0,0,0,0,0,Sat,Premier League,Matchweek 35,Home,W 1-0,Everton,Brentford,FW,0.0,0.0,0.0,45.0,0.0,0.2,0.2,0.1,1.0,0.0,35.0,89.7,2.0,32.0,1.0,0.0,0.0,Match Report,0.0,83.17857142857143,0.0,0.0,1.4999999999999998,0.0,0.0,1.4642857142857142,0.0,0.6428571428571429,27.642857142857142,0.5357142857142857,0.0,0.21428571428571427,0.03571428571428571,0.21428571428571427,14.5,0.0,84.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.2,29.0,0.2,0.0,0.0,0.2,0.2,26.0
Y,30,0,53,0,0,0,0,0,1,0,0,23,0,0,0,0,0,Fri,Premier League,Matchweek 36,Away,D 1-1,Everton,Luton Town,FW,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,73.9,1.0,11.0,1.0,0.0,0.0,Match Report,0.0,83.41379310344827,0.0,0.0,1.4482758620689653,0.0,0.0,1.4482758620689655,0.0,0.6206896551724138,28.03448275862069,0.5172413793103449,0.0,0.20689655172413793,0.034482758620689655,0.20689655172413793,15.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.8,0.0,0.0,33.6,0.2,0.0,0.0,0.2,0.2,27.0
Y,31,0,68,0,0,0,0,0,4,0,3,29,0,0,1,0,0,Sat,Premier League,Matchweek 37,Home,W 1-0,Everton,Sheffield Utd,FW,0.0,0.0,0.0,36.0,0.0,1.7,1.7,0.0,3.0,0.0,18.0,62.1,3.0,25.0,1.0,1.0,0.0,Match Report,0.0,82.4,0.0,0.0,1.3999999999999997,0.0,0.0,1.4333333333333333,0.0,0.6,27.866666666666667,0.5000000000000001,0.0,0.2,0.03333333333333333,0.2,15.5,0.0,82.6,0.0,0.0,1.2,0.0,0.0,0.6,0.0,0.0,32.8,0.2,0.0,0.0,0.2,0.2,28.0
